,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
1104,1118,borderlands,1,5,3,4
1105,1119,the marksman,1,5,0,260
1106,1120,southpaw,1,14,0,269
1107,1121,wo hu cang long,1,5,0,260
1108,1122,lara croft: tomb raider,1,5,15,275
1109,1123,outlaw king,1,13,0,112
1110,1124,greyhound,1,0,2,37
1111,1125,tomorrow never dies,1,5,6,262
1112,1126,the hunt for red october,1,5,6,262
1113,1127,the lone ranger,1,5,10,326
1114,1128,savages,1,14,0,269
1115,1129,the prey: legend of karnoctus,1,11,6,42
1116,1130,x2,1,11,6,42
1117,1131,serenity,1,5,11,18
1118,1132,the bourne legacy,1,5,6,262
1119,1133,brawl in cell block 99,1,14,0,269
1120,1134,deep blue sea,1,5,11,18
1121,1135,quaid-e-azam zindabad,1,6,0,137
1122,1136,octopussy,1,5,6,262
1123,1137,miss congeniality,1,6,14,45
1124,1138,district 9,1,11,6,42
1125,1139,atlantis: the lost empire,3,1,5,5
1126,1140,logan lucky,1,6,14,45
1127,1141,bumblebee,1,5,11,18
1128,1142,godzilla,1,5,11,18
1129,1143,sherlock holmes 3,1,5,9,8
1130,1144,wyatt earp,1,5,13,180
1131,1145,master and commander: the far side of the world,1,5,0,260
1132,1146,non-stop,1,10,6,322
1133,1147,law abiding citizen,1,14,0,269
1134,1148,tomorrowland,1,5,17,51
1135,1149,terminator salvation,1,5,11,18
1136,1150,logan's run,1,5,11,18
1137,1151,the bourne supremacy,1,10,6,322
1138,1152,pineapple express,1,6,14,45
1139,1153,pokémon: detective pikachu,1,5,3,4
1140,1154,men in black ii,1,5,3,4
1141,1155,days of thunder,1,0,7,35
1142,1156,diamonds are forever,1,5,6,262
1143,1157,how to train your dragon: the hidden world,3,1,5,5
1144,1158,for your eyes only,1,5,6,262
1145,1159,lethal weapon,1,14,6,1
1146,1160,smokin' aces,1,6,14,45
1147,1161,g.i. joe: the rise of cobra,1,5,11,18
1148,1162,the last airbender,1,5,17,51
1149,1163,small soldiers,1,5,3,4
1150,1164,ender's game,1,5,11,18
1151,1165,transformers: age of extinction,1,5,11,18
1152,1166,the ridiculous 6,1,5,3,4
1153,1167,ronin,1,14,6,1
1154,1168,source code,1,0,9,81
1155,1169,equilibrium,1,0,11,285
1156,1170,north by northwest,1,5,9,8
1157,1171,the spy who loved me,1,5,6,262
1158,1172,the book of eli,1,5,0,260
1159,1173,midnight in the switchgrass,1,14,6,1
